Person_type,Colour,Height,Age,Gender,Head,Torso,Legs,Feet,Accessories,Blood,Armed,Banners,Type,x_min,y_min,x_max,y_max,Actions
Delinquent ,Black,1.71,42,M,Cap|face mask,T-shirt,Jeans,Sneakers,None,No,Gun,None,Moving,677,136,791,409,10
Victim,Native,1.70,35,M,None,T-shirt,N.I,N.I,None,No,No,None,Seated,663,127,727,291,5
Victim,Native,1.65,41,F,None,Blouse,N.I,N.I,None,No,No,None,Seated,774,132,831,301,5
Victim,Black,1.80,23,M,None,T-shirt,Shorts,Sneakers,None,No,No,None,Seated,853,143,900,295,5
Victim,White,1.70,32,F,None,Blouse,Skirt,N.I,None,No,No,None,Seated,874,197,928,351,5
Victim,White,1.63,25,F,Cap ,Sweater,N.I,N.I,None,No,No,None,Seated,923,132,1008,338,5
Victim,Native,1.72,26,M,Face mask,T-shirt,N.I,N.I,None,No,No,None,Seated,945,215,1035,447,5
Victim,Black,1.70,32,F,None,Blouse,Skirt,N.I,None,No,No,None,Seated,1013,150,1095,378,5
Victim,Native,1.68,41,F,None,Blouse,N.I,N.I,None,No,No,None,Seated,1127,195,1216,424,5
Victim,Native,1.73,23,M,None,T-shirt,Shorts,N.I,None,No,No,None,Seated,150,427,276,661,5
Victim,Native,1.67,58,M,Face mask,Shirt,N.I,N.I,None,No,No,None,Seated,190,360,342,577,5
Victim,White,1.70,36,M,Cap,T-shirt,Shorts,N.I,None,No,No,None,Seated,349,451,481,673,5
Victim,White,1.66,36,F,None,Blouse,Shorts,N.I,None,No,No,None,Seated,519,392,646,675,5
Delinquent ,Black,1.71,23,M,Cap,Sweater,Shorts,Sneakers,None,No,No,None,Moving,760,187,872,495,10
Delinquent ,Black,1.68,25,M,None,Sweater,Shorts,Sneakers,None,No,No,None,Moving,408,190,540,510,10
Law Officer,Native,1.73,28,M,Cap|face mask,Jacket,N.I,N.I,None,No,No,None,Standing,369,4,1120,720,11
Law Officer,N.I,1.70,31,F,Cap|face mask,Jacket,Pants,Boots,None,No,Gun,None,Standing,30,200,108,442,13
Law Officer,Native,1.67,33,F,Beret|face mask,Sweater,Pants,Boots,None,No,Gun,None,Standing,187,359,263,655,13
Law Officer,Native,1.74,35,M,Beret|face mask,Sweater,Pants,Boots,None,No,Gun,None,Standing,248,379,316,649,13
Law Officer,Native,1.72,40,M,Helmet,Sweater,Pants,Boots,None,No,Gun,None,Standing,304,404,381,647,13
Law Officer,Native,1.75,43,M,Helmet,Sweater,Pants,Boots,None,No,Gun,None,Standing,305,268,391,537,13
Law Officer,Native,1.75,39,M,Beret|face mask,Sweater,Pants,Boots,None,No,Gun,None,Standing,395,296,505,551,13
Law Officer,Native,1.72,47,M,Helmet|face mask,Sweater,Pants,Boots,None,No,Gun,None,Crouched,459,442,544,672,13
Law Officer,Native,1.77,52,M,Beret|face mask,Sweater,Pants,Boots,None,No,Gun,None,Crouched,732,400,889,699,13
Viewer,Black,1.70,30,M,None,T-shirt,Shorts,Sneakers,None,No,No,None,Standing,510,118,633,443,5
Viewer,Asian,1.72,32,M,Face mask,Sweater,Pants,Sneakers,None,No,No,None,Standing,144,142,178,245,5
Law Officer,Native,1.68,42,M,Cap|face mask,Shirt,Pants,Boots,None,No,No,None,Moving,717,125,864,554,13
Delinquent ,Black,1.71,23,M,Face mask,Sweater,Jeans,N.I,None,No,No,None,Moving,849,60,1048,567,5
Delinquent ,Black,1.69,27,M,Beanie|face mask,Jacket,Jeans,Sneakers,None,No,No,None,Moving,289,55,344,197,10
Delinquent ,Black,1.70,22,M,Beanie|face mask,Sweater,Shorts,Sneakers,None,No,No,None,Moving,354,63,410,218,10
Victim,Native,1.68,26,M,Glasses,T-shirt,Shorts,Sneakers,None,No,No,None,Seated,224,108,358,360,5
Delinquent ,Black,1.69,27,M,Beanie|face mask,Jacket,Shorts,N.I,None,No,Gun,None,Standing,286,91,466,360,10
Delinquent ,Black,1.70,22,M,Beanie|face mask,Sweater,Shorts,Sneakers,None,No,Gun,None,Moving,375,18,513,343,10
Viewer,Native,N.I,33,M,Cap,T-shirt,N.I,N.I,None,No,No,None,Seated,164,21,317,263,1
Viewer,Black,1.73,30,M,Cap|face mask,T-shirt,Pants,Sneakers,None,No,No,None,Standing,45,44,119,228,5
Viewer,Native,1.70,35,M,Cap|face mask,T-shirt,Jeans,Sneakers,None,No,No,None,Standing,75,29,187,238,5
Viewer,Native,1.70,29,M,Cap|face mask,T-shirt,Pants,Sneakers,None,No,No,None,Standing,166,20,222,195,5
Viewer,White,1.68,44,M,Face mask,T-shirt,Shorts,N.I,None,No,No,None,Standing,223,6,288,209,5
Viewer,Black,N.I,37,M,None,T-shirt,N.I,N.I,None,No,No,None,Seated,245,120,461,316,5
Victim,Native,1.68,35,M,None,T-shirt,N.I,N.I,None,No,No,None,Standing,126,17,423,360,5
Victim,Native,1.68,35,M,None,Sweater,Jeans,N.I,None,No,No,None,Standing,159,35,367,360,5
Viewer,White,1.65,35,M,None,Shirt,N.I,N.I,None,No,No,None,Still,1,16,242,351,5
Viewer,White,1.68,27,F,None,Blouse,N.I,N.I,None,No,No,None,Still,183,8,490,338,5
Viewer,Native,N.I,32,M,None,T-shirt,N.I,N.I,None,No,No,None,Still,140,8,399,360,5
Viewer,Native,1.68,27,F,Face mask,Blouse,N.I,N.I,None,No,No,None,Moving,109,40,290,360,5
Viewer,Native,1.72,32,F,Face mask,Blouse,N.I,N.I,None,No,No,None,Moving,361,8,526,360,5
Viewer,White,1.65,33,F,Face mask,Blouse,N.I,N.I,None,No,No,None,Seated,350,75,539,360,5
Viewer,Native,1.73,31,M,Face mask,T-shirt,N.I,N.I,None,No,No,None,Standing,1,108,79,360,5
Viewer,White,1.72,N.I,M,N.I,Shirt,N.I,N.I,None,No,No,None,Moving,121,71,399,360,5
Viewer,White,1.74,28,M,Face mask,Shirt|backpack,Jeans,N.I,None,No,No,None,Moving,373,87,446,256,5
Viewer,Native,1.70,45,M,Face mask,Shirt,Pants,N.I,None,No,No,None,Standing,427,88,501,248,5
Viewer,White,1.67,33,F,Face mask,T-shirt,Jeans,Sneakers,None,Yes,No,None,Standing,227,10,319,344,9
Viewer,Black,1.68,27,M,Cap|face mask,T-shirt,Pants,N.I,None,No,No,None,Standing,190,35,215,168,9
Viewer,Native,1.65,37,M,Face mask,T-shirt,Shorts,N.I,None,No,No,None,Standing,214,35,241,156,9
Viewer,Native,1.72,46,M,Face mask,Coat,Pants,Shoes,None,No,No,None,Standing,324,37,353,204,9
Viewer,Black,1.70,23,M,Face mask,T-shirt,Pants,Sneakers,None,No,No,None,Moving,338,198,364,282,9
Viewer,Native,1.73,28,M,Cap|face mask,T-shirt|backpack,Pants,Sneakers,None,No,No,None,Moving,31,24,56,92,9
Viewer,Native,1.66,35,F,Face mask,Sweater,Pants,Sneakers,None,No,No,None,Moving,377,195,399,283,9
Viewer,Native,1.82,29,M,Cap|face mask,T-shirt,Pants,N.I,None,No,No,None,Moving,434,195,452,277,9
Viewer,White,1.70,28,M,Cap|face mask,Coat,Jeans,Sneakers,None,No,No,None,Standing,5,223,21,290,9
Viewer,Native,1.72,33,M,Face mask,Sweater,Pants,Sneakers,None,No,No,None,Standing,19,225,37,286,9
Viewer,White,1.68,34,F,Face mask,Shirt,Pants,Shoes,None,No,No,None,Moving,271,219,304,335,9
Law Officer,Native,1.73,46,M,Cap|face mask,Shirt,Pants,Shoes,None,No,No,None,Moving,94,218,106,269,13
Viewer,Native,1.65,52,F,Face mask,Jacket,Pants,Shoes,None,No,No,None,Crouched,148,233,172,282,9
Victim,Native,1.76,36,M,None,T-shirt,Jeans,Sneakers,None,Yes,No,None,Dead,82,182,266,235,5
Viewer,Native,1.69,25,F,Face mask,Coat,Pants,N.I,None,No,No,None,Moving,213,145,245,225,9
Viewer,Black,1.70,28,M,Face mask,Sweater,Pants,N.I,None,No,No,None,Moving,261,147,291,204,9
Victim,White,1.71,32,M,Face mask,Sweater,Pants,N.I,None,No,No,None,Moving,278,139,296,211,5
Viewer,Black,1.70,23,M,Face mask,Sweater,Pants,Sneakers,None,No,No,None,Moving,304,518,337,247,9
Viewer,Black,1.72,26,M,Face mask,T-shirt,Pants,Sneakers,None,No,No,None,Moving,469,228,508,339,5
Viewer,Black,1.68,32,M,Cap|face mask,Jacket,Pants,Boots,None,No,No,None,Moving,378,135,414,207,5
Viewer,Native,1.63,37,F,None,Blouse ,Pants,N.I,None,No,No,None,Moving,287,1,304,49,5
Viewer,Black,1.70,40,M,None,Coat,Pants,N.I,None,No,No,None,Standing,354,14,369,79,5
Delinquent ,Black,N.I,N.I,M,Helmet,Sweater,Pants,Sneakers,None,No,No,None,Moving,345,166,388,259,9
Viewer,N.I,N.I,N.I,F,Face mask,Coat,N.I,N.I,None,No,No,None,Standing,113,82,265,360,9
Viewer,Native,1.71,56,M,Cap ,Blouse,Pants,N.I,None,No,No,None,Moving,67,95,95,191,9
Viewer,Native,1.66,32,F,Face mask,Sweater,N.I,N.I,None,No,No,None,Standing,325,70,457,360,9
Viewer,Black,1.75,33,M,Face mask,Shirt,Jeans,N.I,None,No,No,None,Standing,474,1,538,356,9
Law Officer,Black,1.73,45,M,Cap|face mask,Jacket,Pants,Boots,None,No,Gun,None,Crouched,303,102,329,215,9
Delinquent ,Black,1.69,25,M,None,Jacket,Shorts,Sneakers,None,No,No,None,Crouched,528,25,832,582,9
Victim,N.I,N.I,N.I,M,None,T-shirt,Jeans,None,None,Yes,No,None,Dead,468,35,792,569,5
Delinquent ,Black,1.77,26,M,Face mask,Jacket,N.I,None,None,No,Gun,None,Seated,462,141,834,720,5
Delinquent ,Native,1.72,25,M,None,T-shirt,Pants,Sneakers,None,No,No,None,Still,59,445,589,706,5
Delinquent ,Native,1.70,22,M,None,T-shirt,Jeans,Sneakers,None,No,No,None,Still,10,248,720,643,5
Delinquent ,White,1.72,25,M,None,T-shirt,Shorts,N.I,None,No,No,None,Still,232,190,497,512,5
Delinquent ,White,1.76,18,M,None,T-shirt,Jeans,Sneakers,None,No,No,None,Still,502,13,926,484,5
Delinquent ,Black,1.74,19,M,Face mask,Sweater,Pants,Sneakers,None,No,No,None,Still,862,34,1280,481,5
Delinquent ,Native,N.I,22,M,Face mask,T-shirt,N.I,N.I,None,No,No,None,Seated,779,178,1280,702,5
Delinquent ,White,1.69,23,M,None,Coat,Pants,Sneakers,None,No,No,None,Standing,561,5,817,720,5
Delinquent ,Native,1.67,19,M,None,Coat|jacket,Pants,N.I,None,No,No,None,Standing,529,75,810,703,11
Law Officer,Black,1.73,33,M,Cap|face mask,Jacket,Pants,N.I,None,No,Gun,None,Standing,14,21,518,720,11
Delinquent ,N.I,1.67,19,M,Face mask,Sweater,N.I,N.I,None,No,No,None,Crouched,332,236,941,630,11
Law Officer,White,1.72,29,M,Cap|face mask,Jacket,N.I,N.I,None,No,Gun,None,Standing,615,1,798,300,13
Delinquent ,White,N.I,22,M,None,Sweater|backpack,N.I,N.I,None,No,No,None,Standing,11,138,424,720,9
Delinquent ,Native,N.I,18,M,None,T-shirt,N.I,N.I,None,No,No,None,Standing,487,91,910,718,9
Delinquent ,Native,1.70,22,M,Face mask,Jacket,Pants,N.I,None,No,No,None,Moving,420,19,740,532,9
Delinquent ,White,1.74,19,M,None,Sweater,Pants,Sneakers,None,No,No,None,Moving,449,103,609,719,9
Law Officer,Native,1.70,32,M,Face mask,Sweater,Jeans,Sneakers,None,No,No,None,Moving,555,82,779,632,9
Law Officer,White,1.76,36,M,Face mask,Jacket|sweater,Jeans,N.I,None,No,No,None,Standing,600,8,824,720,9
Viewer,N.I,1.73,22,M,Face mask,Sweater,Pants,Sneakers,None,No,No,None,Moving,522,223,674,526,9
Law Officer,White,1.70,30,M,Face mask,Jacket,Jeans,Sneakers,None,No,Gun,None,Crouched,405,70,816,495,9
Delinquent ,Native,1.70,19,M,Face mask,Sweater,Pants,Sneakers,None,No,No,None,Still,184,275,837,619,11
Law Officer,White,1.68,57,M,Face mask,Shirt|jacket,N.I,N.I,None,No,No,None,Seated,514,83,1106,709,5
Delinquent ,Native,N.I,18,M,None,Sweater,N.I,N.I,None,No,No,None,Seated,414,9,855,556,5
Delinquent ,Native,1.73,21,M,Glasses,Jacket|sweater,Pants,N.I,None,No,Gun,None,Standing,898,1,1248,674,5
Delinquent ,Black,1.69,24,M,Face mask,Sweater,N.I,N.I,None,No,No,None,Seated,215,227,828,696,5
Law Officer,White,1.67,45,M,Face mask,Shirt|jacket,N.I,N.I,None,No,No,None,Standing,11,128,211,703,9
Law Officer,Native,1.65,56,M,Face mask,T-shirt,Pants,N.I,None,No,No,None,Standing,111,162,237,617,9
Viewer,Native,1.68,33,M,Face mask,T-shirt,Pants,Boots,None,No,No,None,Standing,229,160,291,379,9
Viewer,Native,1.68,42,M,Face mask,T-shirt,Shorts,Sneakers,None,No,No,None,Standing,303,151,391,403,9
Law Officer,Native,1.73,35,M,Beret|face mask,Jacket,Pants,N.I,None,No,Gun,None,Standing,357,95,618,719,9
Viewer,Native,1.70,58,M,Face mask,T-shirt,Pants,N.I,None,No,No,None,Standing,570,138,632,409,9
Viewer,White,1.68,53,M,Face mask,T-shirt,Jeans,N.I,None,No,No,None,Standing,633,139,722,391,9
Law Officer,White,1.70,52,M,Cap|face mask,Shirt,N.I,N.I,None,No,No,None,Standing,653,101,1015,720,9
Viewer,White,1.73,46,M,Face mask,Jacket,Jeans,N.I,None,No,No,None,Standing,924,106,1018,438,9
Law Officer,Native,1.68,61,M,Face mask,Shirt,N.I,N.I,None,No,No,None,Standing,129,217,520,701,5
Law Officer,Native,1.70,35,M,Cap|face mask,Jacket,Pants,N.I,None,No,No,None,Standing,1,210,68,437,5
Viewer,Native,1.70,43,M,Face mask,T-shirt,Pants,N.I,None,No,No,None,Standing,39,210,116,456,5
Viewer,Native,1.68,46,M,Face mask,T-shirt,Jeans,N.I,None,No,No,None,Standing,114,221,176,423,5
Law Officer,Native,1.75,52,M,Beret|face mask,Jacket,N.I,N.I,None,No,No,None,Standing,116,162,305,509,5
Law Officer,Native,1.69,34,M,Face mask,Shirt,N.I,N.I,None,No,No,None,Standing,524,286,719,504,5
Law Officer,Native,1.72,34,F,Face mask,Blouse,N.I,N.I,None,No,No,None,Standing,368,197,467,567,5
Law Officer,Native,1.70,46,M,Cap|face mask,Jacket,N.I,N.I,None,No,No,None,Standing,1157,245,1280,584,13
Viewer,Black,1.64,35,F,Cap|face mask,Shirt,Pants,N.I,None,No,No,None,Standing,471,284,626,720,5
Viewer,White,1.72,31,M,Face mask,T-shirt,Pants,N.I,None,No,No,None,Standing,626,193,767,665,9
Law Officer,Black,1.74,36,M,Face mask,Jacket,N.I,N.I,None,No,No,None,Standing,794,186,966,582,13
Viewer,Native,1.68,41,M,Face mask,Shirt,N.I,N.I,None,No,No,None,Standing,715,188,811,395,9
Viewer,Native,1.66,44,M,Face mask,T-shirt,Pants,N.I,None,No,No,None,Standing,954,178,1033,483,9
Viewer,Native,1.70,56,M,Face mask,Shirt,Jeans,Shoes,None,No,No,None,Standing,1037,208,1119,471,9
Viewer,Native,1.70,62,M,Face mask,Shirt,Pants,Shoes,None,No,No,None,Standing,1118,230,1201,425,9
Viewer,Native,1.71,30,M,Face mask,Coat,Pants,Sneakers,None,No,No,None,Standing,1158,261,1222,526,9
Delinquent ,Black,1.70,23,M,Helmet|face mask,Sweater|backpack,Pants,Sneakers,None,No,No,None,Seated,335,234,614,543,5
Delinquent ,Native,1.69,19,M,Face mask,T-shirt,Jeans,Sneakers,None,No,No,None,Seated,555,222,676,469,5
Delinquent ,Black,1.70,22,M,Face mask,Coat,Jeans,Sneakers,None,No,No,None,Seated,652,184,872,404,5
Delinquent ,Black,1.71,26,M,Face mask,T-shirt,Jeans,Sneakers,None,No,No,None,Seated,733,199,1015,373,5
Law Officer,White,1.70,48,M,Face mask,Jacket,Pants,N.I,None,No,No,None,Standing,387,91,494,295,4
Law Officer,Native,1.76,50,M,Cap|face mask,Shirt,Pants,N.I,None,No,No,None,Standing,563,78,629,265,4
Law Officer,White,1.72,61,M,Glasses|face mask,Jacket,Jeans,N.I,None,No,No,None,Standing,632,40,720,277,4
Law Officer,Native,1.75,41,M,Cap|face mask,Jacket,Pants,N.I,None,No,No,None,Standing,732,86,800,258,4
Law Officer,White,1.73,50,M,Face mask,Shirt,Pants,Shoes,None,No,No,None,Standing,780,53,862,322,4
Law Officer,Native,1.73,36,M,Face mask,T-shirt,Shorts,Sneakers,None,No,No,None,Crouched,831,73,983,421,4
Law Officer,N.I,1.80,29,M,Beret|face mask,Jacket,Pants,Boots,None,No,No,None,Standing,1056,83,1101,319,4
Law Officer,Native,1.72,35,M,Cap|face mask,T-shirt,Pants,Boots,None,No,Gun,None,Standing,1168,84,1232,326,4
Law Officer,Native,1.73,32,M,Beret|face mask,Jacket,Pants,Boots,None,No,Gun,None,Standing,639,245,700,490,4
Law Officer,Native,1.68,28,M,Beret|face mask,Jacket,Pants,Boots,None,No,Gun,None,Standing,694,256,757,467,4
Law Officer,Native,1.72,45,M,Beret|face mask,Jacket,Pants,Boots,None,No,Gun,None,Standing,744,325,850,508,4
Law Officer,Native,1.71,47,M,Beret|face mask,Jacket,Pants,Boots,None,No,Gun,None,Standing,784,226,870,487,4
Law Officer,Native,1.69,35,M,Beret|face mask,Jacket,Pants,Boots,None,No,Gun,None,Standing,861,215,939,508,4
Law Officer,White,1.75,28,M,Beret|face mask,Jacket,Pants,Boots,None,No,Gun,None,Standing,915,169,1068,525,4
Law Officer,White,1.78,27,M,Beret|face mask,Jacket,Pants,Boots,None,No,Gun,None,Standing,1066,130,1248,570,4
Viewer,N.I,1.70,28,M,Helmet,Sweater,Shorts,Sneakers,None,No,No,None,Seated,9,134,60,244,5
Viewer,White,1.68,26,F,None,Blouse,Shorts,Sneakers,None,No,No,None,Moving,515,165,538,283,5
Delinquent ,Black,1.72,30,M,Helmet,Coat,Pants,Sneakers,None,No,Gun,None,Standing,333,29,359,77,10
Delinquent ,Native,1.70,32,M,Helmet,T-shirt,Pants,Sneakers,None,No,No,None,Seated,372,54,404,126,10
Delinquent ,Native,1.68,27,M,Helmet,Sweater,Jeans,Sneakers,None,No,No,None,Seated,412,58,447,123,10
Viewer,White,1.75,38,M,None,T-shirt,Shorts,Sneakers,None,No,No,None,Moving,416,117,461,231,5
Viewer,Black,1.70,27,M,Helmet,T-shirt,Shorts,N.I,None,No,No,None,Seated,122,28,171,120,5
Law Officer,Native,1.72,33,M,Cap,Shirt,Pants,Shoes,None,No,Gun,None,Moving,251,188,329,303,8
Viewer,Native,1.66,41,F,None,Blouse,Jeans,Sneakers,None,No,No,None,Moving,153,45,186,110,9
Viewer,Native,1.68,43,M,None,T-shirt,Pants,Sneakers,None,No,No,None,Moving,255,73,303,144,9
Delinquent ,Black,1.75,32,M,None,Coat,Pants,Sneakers,None,No,Gun,None,Standing,316,51,342,101,8
Delinquent ,Native,1.73,35,M,Helmet,Coat,Jeans,Sneakers,None,No,No,None,Seated,358,61,389,108,5
Viewer,White,1.70,30,M,None,T-shirt,Jeans,Sneakers,None,No,No,None,Moving,473,133,510,200,9
Victim,Native,1.67,45,M,None ,Shirt,Pants,Shoes,None,No,No,None,Standing,345,103,385,226,9
Law Officer,Native,1.72,35,M,Cap,Shirt,Pants,Shoes,None,No,No,None,Crouched,362,152,440,247,13
Delinquent ,Black,1.70,28,M,None,Coat,Jeans,Sneakers,None,No,No,None,Still,344,186,444,254,5
Law Officer,White,1.73,33,M,Beret ,Jacket,Pants,Boots,None,No,Gun,None,Moving,318,107,348,192,13
Delinquent ,Native,1.70,35,M,None,T-shirt,Jeans,Sneakers,None,No,No,None,Moving,263,101,317,276,5
Law Officer,White,1.69,47,M,Glasses,Jacket,Jeans,Shoes,None,No,Gun,None,Moving,246,102,285,252,13
Delinquent ,Native,1.70,35,M,None,T-shirt,N.I,N.I,None,No,No,None,Standing,171,103,279,269,5
Delinquent ,Native,1.65,29,M,None,Sweater,N.I,N.I,None,No,No,None,Standing,304,95,395,280,5
Delinquent ,Native,1.68,19,M,Face mask,Sweater,Shorts,Sneakers,None,No,Knife,None,Moving,178,133,216,260,3
Delinquent ,Black,1.70,20,M,Face mask,T-shirt,Shorts,Sneakers,None,No,Knife,None,Moving,213,146,244,273,3
Delinquent ,Native,1.69,25,M,Face mask,T-shirt,N.I,Sneakers,None,No,Knife,None,Moving,242,153,279,237,3
Delinquent ,Native,1.72,22,M,Face mask,Sweater,Shorts,N.I,None,No,No,None,Moving,254,110,306,213,3
Delinquent ,Black,1.71,17,M,Cap|face mask,Sweater,N.I,N.I,None,No,No,None,Moving,301,111,350,229,3
Delinquent ,Black,1.66,19,M,Face mask,T-shirt,Shorts,N.I,None,No,Knife,None,Moving,338,97,401,251,3
Viewer,Native,1.68,25,M,Cap|face mask,T-shirt,Shorts,Sneakers,None,No,No,None,Moving,208,211,250,297,9
Viewer,Native,1.67,21,F,None,T-shirt,Shorts,Sneakers,None,No,No,None,Moving,253,205,277,281,7
Delinquent ,Black,1.70,18,M,None,Coat,Shorts,Sneakers,None,No,No,None,Moving,290,113,325,169,6
Delinquent ,Native,1.68,17,M,None,Sweater,Pants,Sneakers,None,No,No,None,Moving,238,122,265,182,6
Delinquent ,Black,1.69,18,M,Cap|face mask,Sweater,Shorts,Sneakers,None,No,Knife,None,Moving,240,150,255,212,6
Delinquent ,Black,1.68,22,M,None,Sweater,Shorts,Sneakers,None,No,Knife,None,Moving,188,142,216,216,6
Delinquent ,Native,1.70,21,M,None,Sweater,Shorts,Sneakers,None,No,No,None,Moving,221,152,239,216,6
Law Officer,Native,1.68,32,M,Helmet|face mask,Jacket,Pants,Shoes,None,No,No,None,Seated,347,44,377,110,6
Delinquent ,Black,1.69,23,M,None,None,Shorts,Sneakers,None,No,No,None,Moving,376,94,398,175,6
Delinquent ,White,1.72,24,M,Face mask,Sweater,Pants,Sneakers,None,No,No,None,Moving,422,144,463,210,6
Viewer,Native,1.73,33,M,Cap|face mask,T-shirt,Jeans,Sneakers,None,No,No,None,Standing,111,73,164,199,9
Law Officer,Black,1.75,29,M,Cap|face mask,Jacket,Pants,Boots,None,No,No,None,Crouched,166,133,219,239,6
Viewer,White,1.72,31,M,Face mask,Sweater,Jeans,Sneakers,None,No,No,None,Standing,200,67,249,198,9
Viewer,Native,1.68,24,M,None,Sweater,Shorts,Sneakers,None,No,No,None,Standing,224,125,260,235,9
Delinquent ,Black,1.67,22,M,None,None,Shorts,Sneakers,None,No,No,None,Standing,231,101,274,213,10
Law Officer,Black,1.68,36,F,Cap|face mask,Jacket,Pants,Sneakers,None,No,No,None,Standing,251,76,285,198,6
Viewer,Native,1.70,19,F,None,Blouse,Pants,Sneakers,None,No,No,None,Standing,287,112,333,241,9
Viewer,Native,1.68,25,M,Cap|face mask,Shirt,Pants,Shoes,None,No,No,None,Standing,366,98,405,231,9
Victim,Native,1.65,46,F,Face mask,Coat,Pants,Sneakers,None,No,Gun,None,Moving,203,62,424,150,5
Delinquent ,Native,1.72,23,M,Helmet|face mask,Sweater,Jeans,Sneakers,None,No,No,None,Moving,235,56,266,150,10
